day_name,month_name,created_date,total_accounts,daily_posts,last_daily_posts,daily_post_change,daily_post_change_rate,cumulative_daily_posts,post_growth_rate,daily_engagements,last_daily_engagements,daily_engagement_change,daily_engagement_change_rate,cumulative_daily_engagements,engagement_growth_rate,source
Wednesday,January,2020-01-01,681,3656,0.0,0.0,0.0,3656,0.0,5755463,0.0,0.0,0.0,5755463,0.0,facebook
Thursday,January,2020-01-02,661,4943,3656.0,1287.0,0.352,8599,1.352,7332389,5755463.0,1576926.0,0.274,13087852,1.274,facebook
Friday,January,2020-01-03,676,4834,4943.0,-109.0,-0.0221,13433,0.5622,6812504,7332389.0,-519885.0,-0.0709,19900356,0.5205,facebook
Saturday,January,2020-01-04,611,4467,4834.0,-367.0,-0.0759,17900,0.3325,7372141,6812504.0,559637.0,0.0821,27272497,0.3705,facebook
Sunday,January,2020-01-05,615,4127,4467.0,-340.0,-0.0761,22027,0.2306,6504860,7372141.0,-867281.0,-0.1176,33777357,0.2385,facebook
Monday,January,2020-01-06,704,5832,4127.0,1705.0,0.4131,27859,0.2648,6796464,6504860.0,291604.0,0.0448,40573821,0.2012,facebook
Tuesday,January,2020-01-07,697,5860,5832.0,28.0,0.0048,33719,0.2103,6792592,6796464.0,-3872.0,-0.0006,47366413,0.1674,facebook
Wednesday,January,2020-01-08,727,5796,5860.0,-64.0,-0.0109,39515,0.1719,5733330,6792592.0,-1059262.0,-0.1559,53099743,0.121,facebook
Thursday,January,2020-01-09,722,5952,5796.0,156.0,0.0269,45467,0.1506,7203252,5733330.0,1469922.0,0.2564,60302995,0.1357,facebook
Friday,January,2020-01-10,722,5756,5952.0,-196.0,-0.0329,51223,0.1266,6637828,7203252.0,-565424.0,-0.0785,66940823,0.1101,facebook
Saturday,January,2020-01-11,656,4654,5756.0,-1102.0,-0.1915,55877,0.0909,6862180,6637828.0,224352.0,0.0338,73803003,0.1025,facebook
Sunday,January,2020-01-12,597,3846,4654.0,-808.0,-0.1736,59723,0.0688,5390008,6862180.0,-1472172.0,-0.2145,79193011,0.073,facebook
Monday,January,2020-01-13,705,5554,3846.0,1708.0,0.4441,65277,0.093,6752191,5390008.0,1362183.0,0.2527,85945202,0.0853,facebook
Tuesday,January,2020-01-14,701,5284,5554.0,-270.0,-0.0486,70561,0.0809,6468169,6752191.0,-284022.0,-0.0421,92413371,0.0753,facebook
Wednesday,January,2020-01-15,717,5707,5284.0,423.0,0.0801,76268,0.0809,6328895,6468169.0,-139274.0,-0.0215,98742266,0.0685,facebook
Thursday,January,2020-01-16,730,5698,5707.0,-9.0,-0.0016,81966,0.0747,6759918,6328895.0,431023.0,0.0681,105502184,0.0685,facebook
Friday,January,2020-01-17,726,6105,5698.0,407.0,0.0714,88071,0.0745,6778452,6759918.0,18534.0,0.0027,112280636,0.0642,facebook
Saturday,January,2020-01-18,657,4771,6105.0,-1334.0,-0.2185,92842,0.0542,7447357,6778452.0,668905.0,0.0987,119727993,0.0663,facebook
Sunday,January,2020-01-19,624,4176,4771.0,-595.0,-0.1247,97018,0.045,5085416,7447357.0,-2361941.0,-0.3172,124813409,0.0425,facebook
Monday,January,2020-01-20,690,5287,4176.0,1111.0,0.266,102305,0.0545,6765703,5085416.0,1680287.0,0.3304,131579112,0.0542,facebook
Tuesday,January,2020-01-21,705,5649,5287.0,362.0,0.0685,107954,0.0552,7321846,6765703.0,556143.0,0.0822,138900958,0.0556,facebook
Wednesday,January,2020-01-22,719,5823,5649.0,174.0,0.0308,113777,0.0539,6667793,7321846.0,-654053.0,-0.0893,145568751,0.048,facebook
Thursday,January,2020-01-23,737,6297,5823.0,474.0,0.0814,120074,0.0553,7409813,6667793.0,742020.0,0.1113,152978564,0.0509,facebook
Friday,January,2020-01-24,719,6056,6297.0,-241.0,-0.0383,126130,0.0504,6441098,7409813.0,-968715.0,-0.1307,159419662,0.0421,facebook
Saturday,January,2020-01-25,659,5087,6056.0,-969.0,-0.16,131217,0.0403,6365189,6441098.0,-75909.0,-0.0118,165784851,0.0399,facebook
Sunday,January,2020-01-26,626,4808,5087.0,-279.0,-0.0548,136025,0.0366,5632260,6365189.0,-732929.0,-0.1151,171417111,0.034,facebook
Monday,January,2020-01-27,713,5770,4808.0,962.0,0.2001,141795,0.0424,6741593,5632260.0,1109333.0,0.197,178158704,0.0393,facebook
Tuesday,January,2020-01-28,701,5488,5770.0,-282.0,-0.0489,147283,0.0387,7082486,6741593.0,340893.0,0.0506,185241190,0.0398,facebook
Wednesday,January,2020-01-29,729,6197,5488.0,709.0,0.1292,153480,0.0421,6758042,7082486.0,-324444.0,-0.0458,191999232,0.0365,facebook
Thursday,January,2020-01-30,710,6841,6197.0,644.0,0.1039,160321,0.0446,7106186,6758042.0,348144.0,0.0515,199105418,0.037,facebook
Friday,January,2020-01-31,723,6473,6841.0,-368.0,-0.0538,166794,0.0404,6632271,7106186.0,-473915.0,-0.0667,205737689,0.0333,facebook
Saturday,February,2020-02-01,698,5418,6473.0,-1055.0,-0.163,172212,0.0325,6459990,6632271.0,-172281.0,-0.026,212197679,0.0314,facebook
Sunday,February,2020-02-02,644,4780,5418.0,-638.0,-0.1178,176992,0.0278,6556678,6459990.0,96688.0,0.015,218754357,0.0309,facebook
Monday,February,2020-02-03,723,6032,4780.0,1252.0,0.2619,183024,0.0341,7859963,6556678.0,1303285.0,0.1988,226614320,0.0359,facebook
Tuesday,February,2020-02-04,721,5869,6032.0,-163.0,-0.027,188893,0.0321,7427067,7859963.0,-432896.0,-0.0551,234041387,0.0328,facebook
Wednesday,February,2020-02-05,741,5869,5869.0,0.0,0.0,194762,0.0311,6883469,7427067.0,-543598.0,-0.0732,240924856,0.0294,facebook
Thursday,February,2020-02-06,718,6036,5869.0,167.0,0.0285,200798,0.031,6734958,6883469.0,-148511.0,-0.0216,247659814,0.028,facebook
Friday,February,2020-02-07,721,6399,6036.0,363.0,0.0601,207197,0.0319,6886272,6734958.0,151314.0,0.0225,254546086,0.0278,facebook
Saturday,February,2020-02-08,664,4961,6399.0,-1438.0,-0.2247,212158,0.0239,6620491,6886272.0,-265781.0,-0.0386,261166577,0.026,facebook
Sunday,February,2020-02-09,631,4292,4961.0,-669.0,-0.1349,216450,0.0202,6060762,6620491.0,-559729.0,-0.0845,267227339,0.0232,facebook
Monday,February,2020-02-10,659,5297,4292.0,1005.0,0.2342,221747,0.0245,6953312,6060762.0,892550.0,0.1473,274180651,0.026,facebook
Tuesday,February,2020-02-11,728,5969,5297.0,672.0,0.1269,227716,0.0269,7195091,6953312.0,241779.0,0.0348,281375742,0.0262,facebook
Wednesday,February,2020-02-12,737,6404,5969.0,435.0,0.0729,234120,0.0281,7349295,7195091.0,154204.0,0.0214,288725037,0.0261,facebook
Thursday,February,2020-02-13,780,7465,6404.0,1061.0,0.1657,241585,0.0319,7618483,7349295.0,269188.0,0.0366,296343520,0.0264,facebook
Friday,February,2020-02-14,781,7207,7465.0,-258.0,-0.0346,248792,0.0298,8733239,7618483.0,1114756.0,0.1463,305076759,0.0295,facebook
Saturday,February,2020-02-15,674,5198,7207.0,-2009.0,-0.2788,253990,0.0209,6235560,8733239.0,-2497679.0,-0.286,311312319,0.0204,facebook
Sunday,February,2020-02-16,640,5118,5198.0,-80.0,-0.0154,259108,0.0202,7254132,6235560.0,1018572.0,0.1633,318566451,0.0233,facebook
Monday,February,2020-02-17,738,6235,5118.0,1117.0,0.2182,265343,0.0241,7009562,7254132.0,-244570.0,-0.0337,325576013,0.022,facebook
Tuesday,February,2020-02-18,747,5636,6235.0,-599.0,-0.0961,270979,0.0212,7268980,7009562.0,259418.0,0.037,332844993,0.0223,facebook
Wednesday,February,2020-02-19,726,5956,5636.0,320.0,0.0568,276935,0.022,7756856,7268980.0,487876.0,0.0671,340601849,0.0233,facebook
Thursday,February,2020-02-20,742,6567,5956.0,611.0,0.1026,283502,0.0237,8408445,7756856.0,651589.0,0.084,349010294,0.0247,facebook
Friday,February,2020-02-21,724,5635,6567.0,-932.0,-0.1419,289137,0.0199,7015313,8408445.0,-1393132.0,-0.1657,356025607,0.0201,facebook
Saturday,February,2020-02-22,631,4611,5635.0,-1024.0,-0.1817,293748,0.0159,5821717,7015313.0,-1193596.0,-0.1701,361847324,0.0164,facebook
Sunday,February,2020-02-23,618,4470,4611.0,-141.0,-0.0306,298218,0.0152,6093921,5821717.0,272204.0,0.0468,367941245,0.0168,facebook
Monday,February,2020-02-24,723,6352,4470.0,1882.0,0.421,304570,0.0213,7488801,6093921.0,1394880.0,0.2289,375430046,0.0204,facebook
Tuesday,February,2020-02-25,721,5852,6352.0,-500.0,-0.0787,310422,0.0192,7630985,7488801.0,142184.0,0.019,383061031,0.0203,facebook
Wednesday,February,2020-02-26,743,5718,5852.0,-134.0,-0.0229,316140,0.0184,7980318,7630985.0,349333.0,0.0458,391041349,0.0208,facebook
Thursday,February,2020-02-27,734,6202,5718.0,484.0,0.0846,322342,0.0196,8342697,7980318.0,362379.0,0.0454,399384046,0.0213,facebook
Friday,February,2020-02-28,742,6599,6202.0,397.0,0.064,328941,0.0205,6829456,8342697.0,-1513241.0,-0.1814,406213502,0.0171,facebook
Saturday,February,2020-02-29,661,4835,6599.0,-1764.0,-0.2673,333776,0.0147,5641243,6829456.0,-1188213.0,-0.174,411854745,0.0139,facebook
Sunday,March,2020-03-01,657,4672,4835.0,-163.0,-0.0337,338448,0.014,6522528,5641243.0,881285.0,0.1562,418377273,0.0158,facebook
Monday,March,2020-03-02,715,5847,4672.0,1175.0,0.2515,344295,0.0173,5903114,6522528.0,-619414.0,-0.095,424280387,0.0141,facebook
Tuesday,March,2020-03-03,743,6304,5847.0,457.0,0.0782,350599,0.0183,5956506,5903114.0,53392.0,0.009,430236893,0.014,facebook
Wednesday,March,2020-03-04,749,6229,6304.0,-75.0,-0.0119,356828,0.0178,6481687,5956506.0,525181.0,0.0882,436718580,0.0151,facebook
Thursday,March,2020-03-05,766,6498,6229.0,269.0,0.0432,363326,0.0182,6644985,6481687.0,163298.0,0.0252,443363565,0.0152,facebook
Friday,March,2020-03-06,732,6507,6498.0,9.0,0.0014,369833,0.0179,7713365,6644985.0,1068380.0,0.1608,451076930,0.0174,facebook
Saturday,March,2020-03-07,657,5456,6507.0,-1051.0,-0.1615,375289,0.0148,5732207,7713365.0,-1981158.0,-0.2568,456809137,0.0127,facebook
Sunday,March,2020-03-08,667,4474,5456.0,-982.0,-0.18,379763,0.0119,5591631,5732207.0,-140576.0,-0.0245,462400768,0.0122,facebook
Monday,March,2020-03-09,756,6525,4474.0,2051.0,0.4584,386288,0.0172,6999327,5591631.0,1407696.0,0.2518,469400095,0.0151,facebook
Tuesday,March,2020-03-10,710,6336,6525.0,-189.0,-0.029,392624,0.0164,6689249,6999327.0,-310078.0,-0.0443,476089344,0.0143,facebook
Wednesday,March,2020-03-11,751,6246,6336.0,-90.0,-0.0142,398870,0.0159,7630687,6689249.0,941438.0,0.1407,483720031,0.016,facebook
Thursday,March,2020-03-12,766,6261,6246.0,15.0,0.0024,405131,0.0157,7406163,7630687.0,-224524.0,-0.0294,491126194,0.0153,facebook
Friday,March,2020-03-13,767,6567,6261.0,306.0,0.0489,411698,0.0162,7300323,7406163.0,-105840.0,-0.0143,498426517,0.0149,facebook
Saturday,March,2020-03-14,681,5130,6567.0,-1437.0,-0.2188,416828,0.0125,7527992,7300323.0,227669.0,0.0312,505954509,0.0151,facebook
Sunday,March,2020-03-15,647,4613,5130.0,-517.0,-0.1008,421441,0.0111,6761079,7527992.0,-766913.0,-0.1019,512715588,0.0134,facebook
Monday,March,2020-03-16,741,5805,4613.0,1192.0,0.2584,427246,0.0138,6549990,6761079.0,-211089.0,-0.0312,519265578,0.0128,facebook
Tuesday,March,2020-03-17,749,5555,5805.0,-250.0,-0.0431,432801,0.013,7264168,6549990.0,714178.0,0.109,526529746,0.014,facebook
Wednesday,March,2020-03-18,790,6048,5555.0,493.0,0.0887,438849,0.014,7633184,7264168.0,369016.0,0.0508,534162930,0.0145,facebook
Thursday,March,2020-03-19,748,6000,6048.0,-48.0,-0.0079,444849,0.0137,7062776,7633184.0,-570408.0,-0.0747,541225706,0.0132,facebook
Friday,March,2020-03-20,768,6087,6000.0,87.0,0.0145,450936,0.0137,6822377,7062776.0,-240399.0,-0.034,548048083,0.0126,facebook
Saturday,March,2020-03-21,717,4980,6087.0,-1107.0,-0.1819,455916,0.011,7339361,6822377.0,516984.0,0.0758,555387444,0.0134,facebook
Sunday,March,2020-03-22,691,4983,4980.0,3.0,0.0006,460899,0.0109,6269835,7339361.0,-1069526.0,-0.1457,561657279,0.0113,facebook
Monday,March,2020-03-23,759,5540,4983.0,557.0,0.1118,466439,0.012,8021066,6269835.0,1751231.0,0.2793,569678345,0.0143,facebook
Tuesday,March,2020-03-24,787,6003,5540.0,463.0,0.0836,472442,0.0129,7667400,8021066.0,-353666.0,-0.0441,577345745,0.0135,facebook
Wednesday,March,2020-03-25,761,6220,6003.0,217.0,0.0361,478662,0.0132,7785551,7667400.0,118151.0,0.0154,585131296,0.0135,facebook
Thursday,March,2020-03-26,780,6226,6220.0,6.0,0.001,484888,0.013,8165944,7785551.0,380393.0,0.0489,593297240,0.014,facebook
Friday,March,2020-03-27,776,6255,6226.0,29.0,0.0047,491143,0.0129,7881380,8165944.0,-284564.0,-0.0348,601178620,0.0133,facebook
Saturday,March,2020-03-28,730,5122,6255.0,-1133.0,-0.1811,496265,0.0104,8373023,7881380.0,491643.0,0.0624,609551643,0.0139,facebook
Sunday,March,2020-03-29,709,4668,5122.0,-454.0,-0.0886,500933,0.0094,6619515,8373023.0,-1753508.0,-0.2094,616171158,0.0109,facebook
Monday,March,2020-03-30,751,5814,4668.0,1146.0,0.2455,506747,0.0116,6872101,6619515.0,252586.0,0.0382,623043259,0.0112,facebook
Tuesday,March,2020-03-31,1,1,5814.0,-5813.0,-0.9998,506748,0.0,2802,6872101.0,-6869299.0,-0.9996,623046061,0.0,facebook
Wednesday,April,2020-04-01,774,5753,1.0,5752.0,5752.0,512501,0.0114,7745649,2802.0,7742847.0,2763.3287,630791710,0.0124,facebook
Thursday,April,2020-04-02,779,6074,5753.0,321.0,0.0558,518575,0.0119,8194374,7745649.0,448725.0,0.0579,638986084,0.013,facebook
Friday,April,2020-04-03,754,5968,6074.0,-106.0,-0.0175,524543,0.0115,7943028,8194374.0,-251346.0,-0.0307,646929112,0.0124,facebook
Saturday,April,2020-04-04,701,4747,5968.0,-1221.0,-0.2046,529290,0.009,6847308,7943028.0,-1095720.0,-0.1379,653776420,0.0106,facebook
Sunday,April,2020-04-05,692,4526,4747.0,-221.0,-0.0466,533816,0.0086,8187206,6847308.0,1339898.0,0.1957,661963626,0.0125,facebook
Monday,April,2020-04-06,730,5080,4526.0,554.0,0.1224,538896,0.0095,7844387,8187206.0,-342819.0,-0.0419,669808013,0.0119,facebook
Tuesday,April,2020-04-07,785,5439,5080.0,359.0,0.0707,544335,0.0101,7871364,7844387.0,26977.0,0.0034,677679377,0.0118,facebook
Wednesday,April,2020-04-08,765,5849,5439.0,410.0,0.0754,550184,0.0107,7648051,7871364.0,-223313.0,-0.0284,685327428,0.0113,facebook
Thursday,April,2020-04-09,767,5919,5849.0,70.0,0.012,556103,0.0108,8943243,7648051.0,1295192.0,0.1693,694270671,0.013,facebook
Friday,April,2020-04-10,755,5664,5919.0,-255.0,-0.0431,561767,0.0102,7977370,8943243.0,-965873.0,-0.108,702248041,0.0115,facebook
Saturday,April,2020-04-11,693,4678,5664.0,-986.0,-0.1741,566445,0.0083,7685945,7977370.0,-291425.0,-0.0365,709933986,0.0109,facebook
Sunday,April,2020-04-12,679,4820,4678.0,142.0,0.0304,571265,0.0085,7838382,7685945.0,152437.0,0.0198,717772368,0.011,facebook
Monday,April,2020-04-13,784,5631,4820.0,811.0,0.1683,576896,0.0099,7370094,7838382.0,-468288.0,-0.0597,725142462,0.0103,facebook
Tuesday,April,2020-04-14,736,5587,5631.0,-44.0,-0.0078,582483,0.0097,7073115,7370094.0,-296979.0,-0.0403,732215577,0.0098,facebook
Wednesday,April,2020-04-15,770,6024,5587.0,437.0,0.0782,588507,0.0103,8031863,7073115.0,958748.0,0.1355,740247440,0.011,facebook
Thursday,April,2020-04-16,756,5538,6024.0,-486.0,-0.0807,594045,0.0094,7133192,8031863.0,-898671.0,-0.1119,747380632,0.0096,facebook
Friday,April,2020-04-17,735,5541,5538.0,3.0,0.0005,599586,0.0093,7911762,7133192.0,778570.0,0.1091,755292394,0.0106,facebook
Saturday,April,2020-04-18,702,5149,5541.0,-392.0,-0.0707,604735,0.0086,7425185,7911762.0,-486577.0,-0.0615,762717579,0.0098,facebook
Sunday,April,2020-04-19,678,4399,5149.0,-750.0,-0.1457,609134,0.0073,6904939,7425185.0,-520246.0,-0.0701,769622518,0.0091,facebook
Monday,April,2020-04-20,764,5815,4399.0,1416.0,0.3219,614949,0.0095,7317008,6904939.0,412069.0,0.0597,776939526,0.0095,facebook
Tuesday,April,2020-04-21,777,5908,5815.0,93.0,0.016,620857,0.0096,7687712,7317008.0,370704.0,0.0507,784627238,0.0099,facebook
Wednesday,April,2020-04-22,783,6224,5908.0,316.0,0.0535,627081,0.01,7805906,7687712.0,118194.0,0.0154,792433144,0.0099,facebook
Thursday,April,2020-04-23,761,5773,6224.0,-451.0,-0.0725,632854,0.0092,8619945,7805906.0,814039.0,0.1043,801053089,0.0109,facebook
Friday,April,2020-04-24,753,6175,5773.0,402.0,0.0696,639029,0.0098,7281885,8619945.0,-1338060.0,-0.1552,808334974,0.0091,facebook
Saturday,April,2020-04-25,701,5060,6175.0,-1115.0,-0.1806,644089,0.0079,7708997,7281885.0,427112.0,0.0587,816043971,0.0095,facebook
Sunday,April,2020-04-26,671,4505,5060.0,-555.0,-0.1097,648594,0.007,7087796,7708997.0,-621201.0,-0.0806,823131767,0.0087,facebook
Monday,April,2020-04-27,744,5630,4505.0,1125.0,0.2497,654224,0.0087,8382484,7087796.0,1294688.0,0.1827,831514251,0.0102,facebook
Tuesday,April,2020-04-28,762,5925,5630.0,295.0,0.0524,660149,0.0091,8041761,8382484.0,-340723.0,-0.0406,839556012,0.0097,facebook
Wednesday,April,2020-04-29,763,6031,5925.0,106.0,0.0179,666180,0.0091,8300438,8041761.0,258677.0,0.0322,847856450,0.0099,facebook
Thursday,April,2020-04-30,782,5994,6031.0,-37.0,-0.0061,672174,0.009,8457897,8300438.0,157459.0,0.019,856314347,0.01,facebook
Friday,May,2020-05-01,734,5214,5994.0,-780.0,-0.1301,677388,0.0078,8554147,8457897.0,96250.0,0.0114,864868494,0.01,facebook
Saturday,May,2020-05-02,702,5098,5214.0,-116.0,-0.0222,682486,0.0075,7776603,8554147.0,-777544.0,-0.0909,872645097,0.009,facebook
Sunday,May,2020-05-03,680,4910,5098.0,-188.0,-0.0369,687396,0.0072,8744980,7776603.0,968377.0,0.1245,881390077,0.01,facebook
Monday,May,2020-05-04,717,4709,4910.0,-201.0,-0.0409,692105,0.0069,7365970,8744980.0,-1379010.0,-0.1577,888756047,0.0084,facebook
Tuesday,May,2020-05-05,733,5529,4709.0,820.0,0.1741,697634,0.008,7174291,7365970.0,-191679.0,-0.026,895930338,0.0081,facebook
Wednesday,May,2020-05-06,719,5533,5529.0,4.0,0.0007,703167,0.0079,7379264,7174291.0,204973.0,0.0286,903309602,0.0082,facebook
Thursday,May,2020-05-07,748,5983,5533.0,450.0,0.0813,709150,0.0085,8696303,7379264.0,1317039.0,0.1785,912005905,0.0096,facebook
Friday,May,2020-05-08,748,5663,5983.0,-320.0,-0.0535,714813,0.008,7933893,8696303.0,-762410.0,-0.0877,919939798,0.0087,facebook
Saturday,May,2020-05-09,694,4751,5663.0,-912.0,-0.161,719564,0.0066,6412294,7933893.0,-1521599.0,-0.1918,926352092,0.007,facebook
Sunday,May,2020-05-10,688,4709,4751.0,-42.0,-0.0088,724273,0.0065,7096805,6412294.0,684511.0,0.1067,933448897,0.0077,facebook
Monday,May,2020-05-11,744,5723,4709.0,1014.0,0.2153,729996,0.0079,6987394,7096805.0,-109411.0,-0.0154,940436291,0.0075,facebook
Tuesday,May,2020-05-12,743,5880,5723.0,157.0,0.0274,735876,0.0081,7699604,6987394.0,712210.0,0.1019,948135895,0.0082,facebook
Wednesday,May,2020-05-13,756,5703,5880.0,-177.0,-0.0301,741579,0.0077,7091966,7699604.0,-607638.0,-0.0789,955227861,0.0075,facebook
Thursday,May,2020-05-14,752,5923,5703.0,220.0,0.0386,747502,0.008,7429132,7091966.0,337166.0,0.0475,962656993,0.0078,facebook
Friday,May,2020-05-15,755,6328,5923.0,405.0,0.0684,753830,0.0085,7645974,7429132.0,216842.0,0.0292,970302967,0.0079,facebook
Saturday,May,2020-05-16,696,4978,6328.0,-1350.0,-0.2133,758808,0.0066,7623045,7645974.0,-22929.0,-0.003,977926012,0.0079,facebook
Sunday,May,2020-05-17,669,4902,4978.0,-76.0,-0.0153,763710,0.0065,6645036,7623045.0,-978009.0,-0.1283,984571048,0.0068,facebook
Monday,May,2020-05-18,719,5469,4902.0,567.0,0.1157,769179,0.0072,8102781,6645036.0,1457745.0,0.2194,992673829,0.0082,facebook
Tuesday,May,2020-05-19,745,5762,5469.0,293.0,0.0536,774941,0.0075,7308127,8102781.0,-794654.0,-0.0981,999981956,0.0074,facebook
Wednesday,May,2020-05-20,762,5830,5762.0,68.0,0.0118,780771,0.0075,8309793,7308127.0,1001666.0,0.1371,1008291749,0.0083,facebook
Thursday,May,2020-05-21,758,6020,5830.0,190.0,0.0326,786791,0.0077,8803834,8309793.0,494041.0,0.0595,1017095583,0.0087,facebook
Friday,May,2020-05-22,764,6155,6020.0,135.0,0.0224,792946,0.0078,8736828,8803834.0,-67006.0,-0.0076,1025832411,0.0086,facebook
Saturday,May,2020-05-23,707,4735,6155.0,-1420.0,-0.2307,797681,0.006,8136661,8736828.0,-600167.0,-0.0687,1033969072,0.0079,facebook
Sunday,May,2020-05-24,682,4579,4735.0,-156.0,-0.0329,802260,0.0057,8098371,8136661.0,-38290.0,-0.0047,1042067443,0.0078,facebook
Monday,May,2020-05-25,744,5968,4579.0,1389.0,0.3033,808228,0.0074,8655525,8098371.0,557154.0,0.0688,1050722968,0.0083,facebook
Tuesday,May,2020-05-26,758,6027,5968.0,59.0,0.0099,814255,0.0075,7894889,8655525.0,-760636.0,-0.0879,1058617857,0.0075,facebook
Wednesday,May,2020-05-27,759,5838,6027.0,-189.0,-0.0314,820093,0.0072,8526575,7894889.0,631686.0,0.08,1067144432,0.0081,facebook
Thursday,May,2020-05-28,742,6077,5838.0,239.0,0.0409,826170,0.0074,7643266,8526575.0,-883309.0,-0.1036,1074787698,0.0072,facebook
Friday,May,2020-05-29,753,6264,6077.0,187.0,0.0308,832434,0.0076,8288969,7643266.0,645703.0,0.0845,1083076667,0.0077,facebook
Saturday,May,2020-05-30,739,5130,6264.0,-1134.0,-0.181,837564,0.0062,7481074,8288969.0,-807895.0,-0.0975,1090557741,0.0069,facebook
Sunday,May,2020-05-31,692,4936,5130.0,-194.0,-0.0378,842500,0.0059,6808839,7481074.0,-672235.0,-0.0899,1097366580,0.0062,facebook
Monday,June,2020-06-01,772,6267,4936.0,1331.0,0.2697,848767,0.0074,9266253,6808839.0,2457414.0,0.3609,1106632833,0.0084,facebook
Tuesday,June,2020-06-02,753,6183,6267.0,-84.0,-0.0134,854950,0.0073,8708874,9266253.0,-557379.0,-0.0602,1115341707,0.0079,facebook
Wednesday,June,2020-06-03,733,5553,6183.0,-630.0,-0.1019,860503,0.0065,7554476,8708874.0,-1154398.0,-0.1326,1122896183,0.0068,facebook
Thursday,June,2020-06-04,752,6299,5553.0,746.0,0.1343,866802,0.0073,9118002,7554476.0,1563526.0,0.207,1132014185,0.0081,facebook
Friday,June,2020-06-05,775,6305,6299.0,6.0,0.001,873107,0.0073,8426873,9118002.0,-691129.0,-0.0758,1140441058,0.0074,facebook
Saturday,June,2020-06-06,703,5355,6305.0,-950.0,-0.1507,878462,0.0061,7483834,8426873.0,-943039.0,-0.1119,1147924892,0.0066,facebook
Sunday,June,2020-06-07,678,4673,5355.0,-682.0,-0.1274,883135,0.0053,7880937,7483834.0,397103.0,0.0531,1155805829,0.0069,facebook
Monday,June,2020-06-08,728,5783,4673.0,1110.0,0.2375,888918,0.0065,7861667,7880937.0,-19270.0,-0.0024,1163667496,0.0068,facebook
Tuesday,June,2020-06-09,769,6196,5783.0,413.0,0.0714,895114,0.007,8320122,7861667.0,458455.0,0.0583,1171987618,0.0071,facebook
Wednesday,June,2020-06-10,744,6080,6196.0,-116.0,-0.0187,901194,0.0068,7733982,8320122.0,-586140.0,-0.0704,1179721600,0.0066,facebook
Thursday,June,2020-06-11,772,6392,6080.0,312.0,0.0513,907586,0.0071,7642644,7733982.0,-91338.0,-0.0118,1187364244,0.0065,facebook
Friday,June,2020-06-12,761,6643,6392.0,251.0,0.0393,914229,0.0073,7353200,7642644.0,-289444.0,-0.0379,1194717444,0.0062,facebook
Saturday,June,2020-06-13,712,5425,6643.0,-1218.0,-0.1834,919654,0.0059,7295681,7353200.0,-57519.0,-0.0078,1202013125,0.0061,facebook
Sunday,June,2020-06-14,652,5178,5425.0,-247.0,-0.0455,924832,0.0056,6303205,7295681.0,-992476.0,-0.136,1208316330,0.0052,facebook
Monday,June,2020-06-15,733,6167,5178.0,989.0,0.191,930999,0.0067,7799794,6303205.0,1496589.0,0.2374,1216116124,0.0065,facebook
Tuesday,June,2020-06-16,777,6290,6167.0,123.0,0.0199,937289,0.0068,8296369,7799794.0,496575.0,0.0637,1224412493,0.0068,facebook
Wednesday,June,2020-06-17,773,6719,6290.0,429.0,0.0682,944008,0.0072,8124644,8296369.0,-171725.0,-0.0207,1232537137,0.0066,facebook
Thursday,June,2020-06-18,755,6370,6719.0,-349.0,-0.0519,950378,0.0067,7520651,8124644.0,-603993.0,-0.0743,1240057788,0.0061,facebook
Friday,June,2020-06-19,765,6394,6370.0,24.0,0.0038,956772,0.0067,8375027,7520651.0,854376.0,0.1136,1248432815,0.0068,facebook
Saturday,June,2020-06-20,689,5419,6394.0,-975.0,-0.1525,962191,0.0057,7584979,8375027.0,-790048.0,-0.0943,1256017794,0.0061,facebook
Sunday,June,2020-06-21,681,4882,5419.0,-537.0,-0.0991,967073,0.0051,7521950,7584979.0,-63029.0,-0.0083,1263539744,0.006,facebook
Monday,June,2020-06-22,763,6068,4882.0,1186.0,0.2429,973141,0.0063,8537118,7521950.0,1015168.0,0.135,1272076862,0.0068,facebook
Tuesday,June,2020-06-23,772,6432,6068.0,364.0,0.06,979573,0.0066,8742436,8537118.0,205318.0,0.0241,1280819298,0.0069,facebook
Wednesday,June,2020-06-24,756,6227,6432.0,-205.0,-0.0319,985800,0.0064,9597901,8742436.0,855465.0,0.0979,1290417199,0.0075,facebook
Thursday,June,2020-06-25,767,6382,6227.0,155.0,0.0249,992182,0.0065,8684133,9597901.0,-913768.0,-0.0952,1299101332,0.0067,facebook
Friday,June,2020-06-26,765,6975,6382.0,593.0,0.0929,999157,0.007,10499947,8684133.0,1815814.0,0.2091,1309601279,0.0081,facebook
Saturday,June,2020-06-27,704,5417,6975.0,-1558.0,-0.2234,1004574,0.0054,7819250,10499947.0,-2680697.0,-0.2553,1317420529,0.006,facebook
Sunday,June,2020-06-28,683,4700,5417.0,-717.0,-0.1324,1009274,0.0047,7817930,7819250.0,-1320.0,-0.0002,1325238459,0.0059,facebook
Monday,June,2020-06-29,729,6308,4700.0,1608.0,0.3421,1015582,0.0063,7995991,7817930.0,178061.0,0.0228,1333234450,0.006,facebook
Wednesday,July,2020-07-01,801,6906,6308.0,598.0,0.0948,1022488,0.0068,8182173,7995991.0,186182.0,0.0233,1341416623,0.0061,facebook
