day_name,month_name,created_date,channel,total_accounts,daily_posts,last_daily_posts,daily_post_change,daily_post_change_rate,cumulative_daily_posts,post_growth_rate,daily_engagements,last_daily_engagements,daily_engagement_change,daily_engagement_change_rate,cumulative_daily_engagements,engagement_growth_rate
Wednesday,January,2020-01-01,facebook,1048,5772,0.0,0.0,0.0,5772,0.0,9131261,0.0,0.0,0.0,9131261,0.0
Thursday,January,2020-01-02,facebook,995,7498,5772.0,1726.0,0.299,13270,1.299,10242832,9131261.0,1111571.0,0.1217,19374093,1.1217
Friday,January,2020-01-03,facebook,1021,7456,7498.0,-42.0,-0.0056,20726,0.5619,9381875,10242832.0,-860957.0,-0.0841,28755968,0.4842
Saturday,January,2020-01-04,facebook,943,6889,7456.0,-567.0,-0.076,27615,0.3324,10222111,9381875.0,840236.0,0.0896,38978079,0.3555
Sunday,January,2020-01-05,facebook,945,6407,6889.0,-482.0,-0.07,34022,0.232,9528357,10222111.0,-693754.0,-0.0679,48506436,0.2445
Monday,January,2020-01-06,facebook,1070,8941,6407.0,2534.0,0.3955,42963,0.2628,9943451,9528357.0,415094.0,0.0436,58449887,0.205
Tuesday,January,2020-01-07,facebook,1082,8916,8941.0,-25.0,-0.0028,51879,0.2075,9806844,9943451.0,-136607.0,-0.0137,68256731,0.1678
Wednesday,January,2020-01-08,facebook,1104,8821,8916.0,-95.0,-0.0107,60700,0.17,8644903,9806844.0,-1161941.0,-0.1185,76901634,0.1267
Thursday,January,2020-01-09,facebook,1092,9116,8821.0,295.0,0.0334,69816,0.1502,11350537,8644903.0,2705634.0,0.313,88252171,0.1476
Friday,January,2020-01-10,facebook,1100,9323,9116.0,207.0,0.0227,79139,0.1335,11623518,11350537.0,272981.0,0.0241,99875689,0.1317
Saturday,January,2020-01-11,facebook,1028,7864,9323.0,-1459.0,-0.1565,87003,0.0994,10107480,11623518.0,-1516038.0,-0.1304,109983169,0.1012
Sunday,January,2020-01-12,facebook,926,6334,7864.0,-1530.0,-0.1946,93337,0.0728,7995950,10107480.0,-2111530.0,-0.2089,117979119,0.0727
Monday,January,2020-01-13,facebook,1082,8630,6334.0,2296.0,0.3625,101967,0.0925,10130524,7995950.0,2134574.0,0.267,128109643,0.0859
Tuesday,January,2020-01-14,facebook,1083,8616,8630.0,-14.0,-0.0016,110583,0.0845,9793267,10130524.0,-337257.0,-0.0333,137902910,0.0764
Wednesday,January,2020-01-15,facebook,1088,8881,8616.0,265.0,0.0308,119464,0.0803,9750333,9793267.0,-42934.0,-0.0044,147653243,0.0707
Thursday,January,2020-01-16,facebook,1100,9103,8881.0,222.0,0.025,128567,0.0762,10171785,9750333.0,421452.0,0.0432,157825028,0.0689
Friday,January,2020-01-17,facebook,1108,9799,9103.0,696.0,0.0765,138366,0.0762,10132592,10171785.0,-39193.0,-0.0039,167957620,0.0642
Saturday,January,2020-01-18,facebook,1009,7802,9799.0,-1997.0,-0.2038,146168,0.0564,10615574,10132592.0,482982.0,0.0477,178573194,0.0632
Sunday,January,2020-01-19,facebook,940,6756,7802.0,-1046.0,-0.1341,152924,0.0462,7764828,10615574.0,-2850746.0,-0.2685,186338022,0.0435
Monday,January,2020-01-20,facebook,1069,8626,6756.0,1870.0,0.2768,161550,0.0564,9836630,7764828.0,2071802.0,0.2668,196174652,0.0528
Tuesday,January,2020-01-21,facebook,1072,8701,8626.0,75.0,0.0087,170251,0.0539,10299835,9836630.0,463205.0,0.0471,206474487,0.0525
Wednesday,January,2020-01-22,facebook,1090,9326,8701.0,625.0,0.0718,179577,0.0548,12092953,10299835.0,1793118.0,0.1741,218567440,0.0586
Thursday,January,2020-01-23,facebook,1111,9844,9326.0,518.0,0.0555,189421,0.0548,12317478,12092953.0,224525.0,0.0186,230884918,0.0564
Friday,January,2020-01-24,facebook,1095,9829,9844.0,-15.0,-0.0015,199250,0.0519,9842357,12317478.0,-2475121.0,-0.2009,240727275,0.0426
Saturday,January,2020-01-25,facebook,1002,7946,9829.0,-1883.0,-0.1916,207196,0.0399,9396199,9842357.0,-446158.0,-0.0453,250123474,0.039
Sunday,January,2020-01-26,facebook,965,7339,7946.0,-607.0,-0.0764,214535,0.0354,9448949,9396199.0,52750.0,0.0056,259572423,0.0378
Monday,January,2020-01-27,facebook,1091,8946,7339.0,1607.0,0.219,223481,0.0417,9968872,9448949.0,519923.0,0.055,269541295,0.0384
Tuesday,January,2020-01-28,facebook,1076,8657,8946.0,-289.0,-0.0323,232138,0.0387,9974632,9968872.0,5760.0,0.0006,279515927,0.037
Wednesday,January,2020-01-29,facebook,1114,9247,8657.0,590.0,0.0682,241385,0.0398,9893458,9974632.0,-81174.0,-0.0081,289409385,0.0354
Thursday,January,2020-01-30,facebook,1079,10509,9247.0,1262.0,0.1365,251894,0.0435,11119598,9893458.0,1226140.0,0.1239,300528983,0.0384
Friday,January,2020-01-31,facebook,1099,10086,10509.0,-423.0,-0.0403,261980,0.04,9813241,11119598.0,-1306357.0,-0.1175,310342224,0.0327
Saturday,February,2020-02-01,facebook,1073,8756,10086.0,-1330.0,-0.1319,270736,0.0334,9301357,9813241.0,-511884.0,-0.0522,319643581,0.03
Sunday,February,2020-02-02,facebook,1000,7689,8756.0,-1067.0,-0.1219,278425,0.0284,9497766,9301357.0,196409.0,0.0211,329141347,0.0297
Monday,February,2020-02-03,facebook,1096,9003,7689.0,1314.0,0.1709,287428,0.0323,10313011,9497766.0,815245.0,0.0858,339454358,0.0313
Tuesday,February,2020-02-04,facebook,1087,9136,9003.0,133.0,0.0148,296564,0.0318,10646519,10313011.0,333508.0,0.0323,350100877,0.0314
Wednesday,February,2020-02-05,facebook,1117,9257,9136.0,121.0,0.0132,305821,0.0312,10451916,10646519.0,-194603.0,-0.0183,360552793,0.0299
Thursday,February,2020-02-06,facebook,1110,9741,9257.0,484.0,0.0523,315562,0.0319,10156908,10451916.0,-295008.0,-0.0282,370709701,0.0282
Friday,February,2020-02-07,facebook,1089,10030,9741.0,289.0,0.0297,325592,0.0318,10987090,10156908.0,830182.0,0.0817,381696791,0.0296
Saturday,February,2020-02-08,facebook,1036,7953,10030.0,-2077.0,-0.2071,333545,0.0244,11179049,10987090.0,191959.0,0.0175,392875840,0.0293
Sunday,February,2020-02-09,facebook,975,7116,7953.0,-837.0,-0.1052,340661,0.0213,12755726,11179049.0,1576677.0,0.141,405631566,0.0325
Monday,February,2020-02-10,facebook,995,8273,7116.0,1157.0,0.1626,348934,0.0243,10699323,12755726.0,-2056403.0,-0.1612,416330889,0.0264
Tuesday,February,2020-02-11,facebook,1116,9360,8273.0,1087.0,0.1314,358294,0.0268,10944357,10699323.0,245034.0,0.0229,427275246,0.0263
Wednesday,February,2020-02-12,facebook,1123,9911,9360.0,551.0,0.0589,368205,0.0277,10528932,10944357.0,-415425.0,-0.038,437804178,0.0246
Thursday,February,2020-02-13,facebook,1154,11353,9911.0,1442.0,0.1455,379558,0.0308,11248529,10528932.0,719597.0,0.0683,449052707,0.0257
Friday,February,2020-02-14,facebook,1191,10954,11353.0,-399.0,-0.0351,390512,0.0289,12268334,11248529.0,1019805.0,0.0907,461321041,0.0273
Saturday,February,2020-02-15,facebook,1025,7928,10954.0,-3026.0,-0.2762,398440,0.0203,8409358,12268334.0,-3858976.0,-0.3145,469730399,0.0182
Sunday,February,2020-02-16,facebook,981,7445,7928.0,-483.0,-0.0609,405885,0.0187,9652348,8409358.0,1242990.0,0.1478,479382747,0.0205
Monday,February,2020-02-17,facebook,1093,9150,7445.0,1705.0,0.229,415035,0.0225,10034423,9652348.0,382075.0,0.0396,489417170,0.0209
Tuesday,February,2020-02-18,facebook,1127,8881,9150.0,-269.0,-0.0294,423916,0.0214,10017408,10034423.0,-17015.0,-0.0017,499434578,0.0205
Wednesday,February,2020-02-19,facebook,1099,9468,8881.0,587.0,0.0661,433384,0.0223,10720520,10017408.0,703112.0,0.0702,510155098,0.0215
Thursday,February,2020-02-20,facebook,1133,9978,9468.0,510.0,0.0539,443362,0.023,12348190,10720520.0,1627670.0,0.1518,522503288,0.0242
Friday,February,2020-02-21,facebook,1092,9453,9978.0,-525.0,-0.0526,452815,0.0213,10801111,12348190.0,-1547079.0,-0.1253,533304399,0.0207
Saturday,February,2020-02-22,facebook,997,7655,9453.0,-1798.0,-0.1902,460470,0.0169,8841186,10801111.0,-1959925.0,-0.1815,542145585,0.0166
Sunday,February,2020-02-23,facebook,957,7351,7655.0,-304.0,-0.0397,467821,0.016,9195215,8841186.0,354029.0,0.04,551340800,0.017
Monday,February,2020-02-24,facebook,1086,9812,7351.0,2461.0,0.3348,477633,0.021,10386665,9195215.0,1191450.0,0.1296,561727465,0.0188
Tuesday,February,2020-02-25,facebook,1083,9024,9812.0,-788.0,-0.0803,486657,0.0189,11282984,10386665.0,896319.0,0.0863,573010449,0.0201
Wednesday,February,2020-02-26,facebook,1123,9150,9024.0,126.0,0.014,495807,0.0188,12250270,11282984.0,967286.0,0.0857,585260719,0.0214
Thursday,February,2020-02-27,facebook,1120,9922,9150.0,772.0,0.0844,505729,0.02,12415488,12250270.0,165218.0,0.0135,597676207,0.0212
Friday,February,2020-02-28,facebook,1132,10374,9922.0,452.0,0.0456,516103,0.0205,10861333,12415488.0,-1554155.0,-0.1252,608537540,0.0182
Saturday,February,2020-02-29,facebook,1046,8102,10374.0,-2272.0,-0.219,524205,0.0157,8590370,10861333.0,-2270963.0,-0.2091,617127910,0.0141
Sunday,March,2020-03-01,facebook,1000,7073,8102.0,-1029.0,-0.127,531278,0.0135,9408237,8590370.0,817867.0,0.0952,626536147,0.0152
Monday,March,2020-03-02,facebook,1085,9028,7073.0,1955.0,0.2764,540306,0.017,8813333,9408237.0,-594904.0,-0.0632,635349480,0.0141
Tuesday,March,2020-03-03,facebook,1128,9479,9028.0,451.0,0.05,549785,0.0175,9705102,8813333.0,891769.0,0.1012,645054582,0.0153
Wednesday,March,2020-03-04,facebook,1140,9455,9479.0,-24.0,-0.0025,559240,0.0172,9819164,9705102.0,114062.0,0.0118,654873746,0.0152
Thursday,March,2020-03-05,facebook,1141,10113,9455.0,658.0,0.0696,569353,0.0181,9957028,9819164.0,137864.0,0.014,664830774,0.0152
Friday,March,2020-03-06,facebook,1119,10305,10113.0,192.0,0.019,579658,0.0181,11111817,9957028.0,1154789.0,0.116,675942591,0.0167
Saturday,March,2020-03-07,facebook,998,8422,10305.0,-1883.0,-0.1827,588080,0.0145,8805032,11111817.0,-2306785.0,-0.2076,684747623,0.013
Sunday,March,2020-03-08,facebook,1005,6820,8422.0,-1602.0,-0.1902,594900,0.0116,8622684,8805032.0,-182348.0,-0.0207,693370307,0.0126
Monday,March,2020-03-09,facebook,1119,9720,6820.0,2900.0,0.4252,604620,0.0163,10564289,8622684.0,1941605.0,0.2252,703934596,0.0152
Tuesday,March,2020-03-10,facebook,1088,9691,9720.0,-29.0,-0.003,614311,0.016,9985687,10564289.0,-578602.0,-0.0548,713920283,0.0142
Wednesday,March,2020-03-11,facebook,1141,9956,9691.0,265.0,0.0273,624267,0.0162,11972649,9985687.0,1986962.0,0.199,725892932,0.0168
Thursday,March,2020-03-12,facebook,1157,9480,9956.0,-476.0,-0.0478,633747,0.0152,10780463,11972649.0,-1192186.0,-0.0996,736673395,0.0149
Friday,March,2020-03-13,facebook,1154,9864,9480.0,384.0,0.0405,643611,0.0156,11730040,10780463.0,949577.0,0.0881,748403435,0.0159
Saturday,March,2020-03-14,facebook,1043,7910,9864.0,-1954.0,-0.1981,651521,0.0123,11117842,11730040.0,-612198.0,-0.0522,759521277,0.0149
Sunday,March,2020-03-15,facebook,968,7203,7910.0,-707.0,-0.0894,658724,0.0111,10363473,11117842.0,-754369.0,-0.0679,769884750,0.0136
Monday,March,2020-03-16,facebook,1111,9105,7203.0,1902.0,0.2641,667829,0.0138,11329370,10363473.0,965897.0,0.0932,781214120,0.0147
Tuesday,March,2020-03-17,facebook,1142,9152,9105.0,47.0,0.0052,676981,0.0137,11581271,11329370.0,251901.0,0.0222,792795391,0.0148
Wednesday,March,2020-03-18,facebook,1170,9227,9152.0,75.0,0.0082,686208,0.0136,11659504,11581271.0,78233.0,0.0068,804454895,0.0147
Thursday,March,2020-03-19,facebook,1116,9023,9227.0,-204.0,-0.0221,695231,0.0131,11159883,11659504.0,-499621.0,-0.0429,815614778,0.0139
Friday,March,2020-03-20,facebook,1160,9410,9023.0,387.0,0.0429,704641,0.0135,10329794,11159883.0,-830089.0,-0.0744,825944572,0.0127
Saturday,March,2020-03-21,facebook,1076,8035,9410.0,-1375.0,-0.1461,712676,0.0114,11470456,10329794.0,1140662.0,0.1104,837415028,0.0139
Sunday,March,2020-03-22,facebook,1066,7785,8035.0,-250.0,-0.0311,720461,0.0109,10577678,11470456.0,-892778.0,-0.0778,847992706,0.0126
Monday,March,2020-03-23,facebook,1147,8527,7785.0,742.0,0.0953,728988,0.0118,12219369,10577678.0,1641691.0,0.1552,860212075,0.0144
Tuesday,March,2020-03-24,facebook,1193,9459,8527.0,932.0,0.1093,738447,0.013,12094391,12219369.0,-124978.0,-0.0102,872306466,0.0141
Wednesday,March,2020-03-25,facebook,1177,9631,9459.0,172.0,0.0182,748078,0.013,11773124,12094391.0,-321267.0,-0.0266,884079590,0.0135
Thursday,March,2020-03-26,facebook,1168,9397,9631.0,-234.0,-0.0243,757475,0.0126,13041468,11773124.0,1268344.0,0.1077,897121058,0.0148
Friday,March,2020-03-27,facebook,1182,9654,9397.0,257.0,0.0273,767129,0.0127,11969574,13041468.0,-1071894.0,-0.0822,909090632,0.0133
Saturday,March,2020-03-28,facebook,1124,8313,9654.0,-1341.0,-0.1389,775442,0.0108,12231495,11969574.0,261921.0,0.0219,921322127,0.0135
Sunday,March,2020-03-29,facebook,1068,7236,8313.0,-1077.0,-0.1296,782678,0.0093,10317835,12231495.0,-1913660.0,-0.1565,931639962,0.0112
Monday,March,2020-03-30,facebook,1133,9070,7236.0,1834.0,0.2535,791748,0.0116,11278511,10317835.0,960676.0,0.0931,942918473,0.0121
Tuesday,March,2020-03-31,facebook,1,1,9070.0,-9069.0,-0.9999,791749,0.0,2802,11278511.0,-11275709.0,-0.9998,942921275,0.0
Wednesday,April,2020-04-01,facebook,1169,8945,1.0,8944.0,8944.0,800694,0.0113,12220997,2802.0,12218195.0,4360.5264,955142272,0.013
Thursday,April,2020-04-02,facebook,1177,9256,8945.0,311.0,0.0348,809950,0.0116,12305170,12220997.0,84173.0,0.0069,967447442,0.0129
Friday,April,2020-04-03,facebook,1144,9123,9256.0,-133.0,-0.0144,819073,0.0113,12028141,12305170.0,-277029.0,-0.0225,979475583,0.0124
Saturday,April,2020-04-04,facebook,1085,7433,9123.0,-1690.0,-0.1852,826506,0.0091,10615758,12028141.0,-1412383.0,-0.1174,990091341,0.0108
Sunday,April,2020-04-05,facebook,1062,6974,7433.0,-459.0,-0.0618,833480,0.0084,12216876,10615758.0,1601118.0,0.1508,1002308217,0.0123
Monday,April,2020-04-06,facebook,1102,7895,6974.0,921.0,0.1321,841375,0.0095,11613201,12216876.0,-603675.0,-0.0494,1013921418,0.0116
Tuesday,April,2020-04-07,facebook,1177,8228,7895.0,333.0,0.0422,849603,0.0098,11466133,11613201.0,-147068.0,-0.0127,1025387551,0.0113
Wednesday,April,2020-04-08,facebook,1160,8993,8228.0,765.0,0.093,858596,0.0106,12379456,11466133.0,913323.0,0.0797,1037767007,0.0121
Thursday,April,2020-04-09,facebook,1175,9231,8993.0,238.0,0.0265,867827,0.0108,13087105,12379456.0,707649.0,0.0572,1050854112,0.0126
Friday,April,2020-04-10,facebook,1135,8772,9231.0,-459.0,-0.0497,876599,0.0101,12381973,13087105.0,-705132.0,-0.0539,1063236085,0.0118
Saturday,April,2020-04-11,facebook,1078,7483,8772.0,-1289.0,-0.1469,884082,0.0085,11323295,12381973.0,-1058678.0,-0.0855,1074559380,0.0106
Sunday,April,2020-04-12,facebook,1050,7357,7483.0,-126.0,-0.0168,891439,0.0083,11286908,11323295.0,-36387.0,-0.0032,1085846288,0.0105
Monday,April,2020-04-13,facebook,1195,8915,7357.0,1558.0,0.2118,900354,0.01,11467284,11286908.0,180376.0,0.016,1097313572,0.0106
Tuesday,April,2020-04-14,facebook,1132,8749,8915.0,-166.0,-0.0186,909103,0.0097,10900138,11467284.0,-567146.0,-0.0495,1108213710,0.0099
Wednesday,April,2020-04-15,facebook,1182,9445,8749.0,696.0,0.0796,918548,0.0104,12012058,10900138.0,1111920.0,0.102,1120225768,0.0108
Thursday,April,2020-04-16,facebook,1144,8766,9445.0,-679.0,-0.0719,927314,0.0095,11140432,12012058.0,-871626.0,-0.0726,1131366200,0.0099
Friday,April,2020-04-17,facebook,1131,8633,8766.0,-133.0,-0.0152,935947,0.0093,12308331,11140432.0,1167899.0,0.1048,1143674531,0.0109
Saturday,April,2020-04-18,facebook,1085,7920,8633.0,-713.0,-0.0826,943867,0.0085,11071149,12308331.0,-1237182.0,-0.1005,1154745680,0.0097
Sunday,April,2020-04-19,facebook,1042,6990,7920.0,-930.0,-0.1174,950857,0.0074,10118213,11071149.0,-952936.0,-0.0861,1164863893,0.0088
Monday,April,2020-04-20,facebook,1164,8718,6990.0,1728.0,0.2472,959575,0.0092,11080859,10118213.0,962646.0,0.0951,1175944752,0.0095
Tuesday,April,2020-04-21,facebook,1196,8935,8718.0,217.0,0.0249,968510,0.0093,11557748,11080859.0,476889.0,0.043,1187502500,0.0098
Wednesday,April,2020-04-22,facebook,1178,9445,8935.0,510.0,0.0571,977955,0.0098,11632220,11557748.0,74472.0,0.0064,1199134720,0.0098
Thursday,April,2020-04-23,facebook,1150,8732,9445.0,-713.0,-0.0755,986687,0.0089,11977300,11632220.0,345080.0,0.0297,1211112020,0.01
Friday,April,2020-04-24,facebook,1154,9418,8732.0,686.0,0.0786,996105,0.0095,11100739,11977300.0,-876561.0,-0.0732,1222212759,0.0092
Saturday,April,2020-04-25,facebook,1069,7884,9418.0,-1534.0,-0.1629,1003989,0.0079,11380495,11100739.0,279756.0,0.0252,1233593254,0.0093
Sunday,April,2020-04-26,facebook,1025,7164,7884.0,-720.0,-0.0913,1011153,0.0071,10472349,11380495.0,-908146.0,-0.0798,1244065603,0.0085
Monday,April,2020-04-27,facebook,1128,8505,7164.0,1341.0,0.1872,1019658,0.0084,12094721,10472349.0,1622372.0,0.1549,1256160324,0.0097
Tuesday,April,2020-04-28,facebook,1163,8979,8505.0,474.0,0.0557,1028637,0.0088,11810300,12094721.0,-284421.0,-0.0235,1267970624,0.0094
Wednesday,April,2020-04-29,facebook,1164,9144,8979.0,165.0,0.0184,1037781,0.0089,12473891,11810300.0,663591.0,0.0562,1280444515,0.0098
Thursday,April,2020-04-30,facebook,1180,9151,9144.0,7.0,0.0008,1046932,0.0088,11964322,12473891.0,-509569.0,-0.0409,1292408837,0.0093
Friday,May,2020-05-01,facebook,1131,8266,9151.0,-885.0,-0.0967,1055198,0.0079,11901280,11964322.0,-63042.0,-0.0053,1304310117,0.0092
Saturday,May,2020-05-02,facebook,1086,7860,8266.0,-406.0,-0.0491,1063058,0.0074,11424226,11901280.0,-477054.0,-0.0401,1315734343,0.0088
Sunday,May,2020-05-03,facebook,1033,7364,7860.0,-496.0,-0.0631,1070422,0.0069,12011283,11424226.0,587057.0,0.0514,1327745626,0.0091
Monday,May,2020-05-04,facebook,1087,7569,7364.0,205.0,0.0278,1077991,0.0071,10086511,12011283.0,-1924772.0,-0.1602,1337832137,0.0076
Tuesday,May,2020-05-05,facebook,1117,8442,7569.0,873.0,0.1153,1086433,0.0078,10750958,10086511.0,664447.0,0.0659,1348583095,0.008
Wednesday,May,2020-05-06,facebook,1096,8142,8442.0,-300.0,-0.0355,1094575,0.0075,10760699,10750958.0,9741.0,0.0009,1359343794,0.008
Thursday,May,2020-05-07,facebook,1161,9139,8142.0,997.0,0.1225,1103714,0.0083,12294435,10760699.0,1533736.0,0.1425,1371638229,0.009
Friday,May,2020-05-08,facebook,1131,8680,9139.0,-459.0,-0.0502,1112394,0.0079,11341388,12294435.0,-953047.0,-0.0775,1382979617,0.0083
Saturday,May,2020-05-09,facebook,1072,7406,8680.0,-1274.0,-0.1468,1119800,0.0067,9631037,11341388.0,-1710351.0,-0.1508,1392610654,0.007
Sunday,May,2020-05-10,facebook,1037,7041,7406.0,-365.0,-0.0493,1126841,0.0063,10009055,9631037.0,378018.0,0.0392,1402619709,0.0072
Monday,May,2020-05-11,facebook,1132,8667,7041.0,1626.0,0.2309,1135508,0.0077,10286087,10009055.0,277032.0,0.0277,1412905796,0.0073
Tuesday,May,2020-05-12,facebook,1125,8696,8667.0,29.0,0.0033,1144204,0.0077,11273499,10286087.0,987412.0,0.096,1424179295,0.008
Wednesday,May,2020-05-13,facebook,1138,8695,8696.0,-1.0,-0.0001,1152899,0.0076,10458561,11273499.0,-814938.0,-0.0723,1434637856,0.0073
Thursday,May,2020-05-14,facebook,1139,9042,8695.0,347.0,0.0399,1161941,0.0078,11233388,10458561.0,774827.0,0.0741,1445871244,0.0078
Friday,May,2020-05-15,facebook,1150,9392,9042.0,350.0,0.0387,1171333,0.0081,11388888,11233388.0,155500.0,0.0138,1457260132,0.0079
Saturday,May,2020-05-16,facebook,1068,7801,9392.0,-1591.0,-0.1694,1179134,0.0067,11003265,11388888.0,-385623.0,-0.0339,1468263397,0.0076
Sunday,May,2020-05-17,facebook,1043,8124,7801.0,323.0,0.0414,1187258,0.0069,9970380,11003265.0,-1032885.0,-0.0939,1478233777,0.0068
Monday,May,2020-05-18,facebook,1100,8328,8124.0,204.0,0.0251,1195586,0.007,11519005,9970380.0,1548625.0,0.1553,1489752782,0.0078
Tuesday,May,2020-05-19,facebook,1140,8736,8328.0,408.0,0.049,1204322,0.0073,11091241,11519005.0,-427764.0,-0.0371,1500844023,0.0074
Wednesday,May,2020-05-20,facebook,1144,8807,8736.0,71.0,0.0081,1213129,0.0073,11550387,11091241.0,459146.0,0.0414,1512394410,0.0077
Thursday,May,2020-05-21,facebook,1126,8779,8807.0,-28.0,-0.0032,1221908,0.0072,12014085,11550387.0,463698.0,0.0401,1524408495,0.0079
Friday,May,2020-05-22,facebook,1136,9141,8779.0,362.0,0.0412,1231049,0.0075,12303977,12014085.0,289892.0,0.0241,1536712472,0.0081
Saturday,May,2020-05-23,facebook,1068,7650,9141.0,-1491.0,-0.1631,1238699,0.0062,11202411,12303977.0,-1101566.0,-0.0895,1547914883,0.0073
Sunday,May,2020-05-24,facebook,1025,7312,7650.0,-338.0,-0.0442,1246011,0.0059,11126910,11202411.0,-75501.0,-0.0067,1559041793,0.0072
Monday,May,2020-05-25,facebook,1113,8985,7312.0,1673.0,0.2288,1254996,0.0072,12066424,11126910.0,939514.0,0.0844,1571108217,0.0077
Tuesday,May,2020-05-26,facebook,1134,8957,8985.0,-28.0,-0.0031,1263953,0.0071,11271899,12066424.0,-794525.0,-0.0658,1582380116,0.0072
Wednesday,May,2020-05-27,facebook,1152,8974,8957.0,17.0,0.0019,1272927,0.0071,12394018,11271899.0,1122119.0,0.0996,1594774134,0.0078
Thursday,May,2020-05-28,facebook,1122,9120,8974.0,146.0,0.0163,1282047,0.0072,11010264,12394018.0,-1383754.0,-0.1116,1605784398,0.0069
Friday,May,2020-05-29,facebook,1136,9508,9120.0,388.0,0.0425,1291555,0.0074,11531955,11010264.0,521691.0,0.0474,1617316353,0.0072
Saturday,May,2020-05-30,facebook,1094,7978,9508.0,-1530.0,-0.1609,1299533,0.0062,10484021,11531955.0,-1047934.0,-0.0909,1627800374,0.0065
Sunday,May,2020-05-31,facebook,1044,7455,7978.0,-523.0,-0.0656,1306988,0.0057,9990875,10484021.0,-493146.0,-0.047,1637791249,0.0061
Monday,June,2020-06-01,facebook,1157,9568,7455.0,2113.0,0.2834,1316556,0.0073,12851462,9990875.0,2860587.0,0.2863,1650642711,0.0078
Tuesday,June,2020-06-02,facebook,1110,9455,9568.0,-113.0,-0.0118,1326011,0.0072,12066478,12851462.0,-784984.0,-0.0611,1662709189,0.0073
Wednesday,June,2020-06-03,facebook,1109,8723,9455.0,-732.0,-0.0774,1334734,0.0066,10584534,12066478.0,-1481944.0,-0.1228,1673293723,0.0064
Thursday,June,2020-06-04,facebook,1127,9439,8723.0,716.0,0.0821,1344173,0.0071,12641763,10584534.0,2057229.0,0.1944,1685935486,0.0076
Friday,June,2020-06-05,facebook,1163,9800,9439.0,361.0,0.0382,1353973,0.0073,11874675,12641763.0,-767088.0,-0.0607,1697810161,0.007
Saturday,June,2020-06-06,facebook,1076,8586,9800.0,-1214.0,-0.1239,1362559,0.0063,10477075,11874675.0,-1397600.0,-0.1177,1708287236,0.0062
Sunday,June,2020-06-07,facebook,987,7185,8586.0,-1401.0,-0.1632,1369744,0.0053,10835459,10477075.0,358384.0,0.0342,1719122695,0.0063
Monday,June,2020-06-08,facebook,1095,8957,7185.0,1772.0,0.2466,1378701,0.0065,11334126,10835459.0,498667.0,0.046,1730456821,0.0066
Tuesday,June,2020-06-09,facebook,1136,9084,8957.0,127.0,0.0142,1387785,0.0066,11356785,11334126.0,22659.0,0.002,1741813606,0.0066
Wednesday,June,2020-06-10,facebook,1105,9394,9084.0,310.0,0.0341,1397179,0.0068,10997939,11356785.0,-358846.0,-0.0316,1752811545,0.0063
Thursday,June,2020-06-11,facebook,1139,9841,9394.0,447.0,0.0476,1407020,0.007,11656085,10997939.0,658146.0,0.0598,1764467630,0.0066
Friday,June,2020-06-12,facebook,1136,10232,9841.0,391.0,0.0397,1417252,0.0073,11097385,11656085.0,-558700.0,-0.0479,1775565015,0.0063
Saturday,June,2020-06-13,facebook,1067,8481,10232.0,-1751.0,-0.1711,1425733,0.006,10247983,11097385.0,-849402.0,-0.0765,1785812998,0.0058
Sunday,June,2020-06-14,facebook,980,7905,8481.0,-576.0,-0.0679,1433638,0.0055,10022503,10247983.0,-225480.0,-0.022,1795835501,0.0056
Monday,June,2020-06-15,facebook,1118,9284,7905.0,1379.0,0.1744,1442922,0.0065,11942658,10022503.0,1920155.0,0.1916,1807778159,0.0067
Tuesday,June,2020-06-16,facebook,1155,9783,9284.0,499.0,0.0537,1452705,0.0068,11851335,11942658.0,-91323.0,-0.0076,1819629494,0.0066
Wednesday,June,2020-06-17,facebook,1148,10304,9783.0,521.0,0.0533,1463009,0.0071,12590533,11851335.0,739198.0,0.0624,1832220027,0.0069
Thursday,June,2020-06-18,facebook,1122,9657,10304.0,-647.0,-0.0628,1472666,0.0066,11382998,12590533.0,-1207535.0,-0.0959,1843603025,0.0062
Friday,June,2020-06-19,facebook,1133,10138,9657.0,481.0,0.0498,1482804,0.0069,11609743,11382998.0,226745.0,0.0199,1855212768,0.0063
Saturday,June,2020-06-20,facebook,1054,8807,10138.0,-1331.0,-0.1313,1491611,0.0059,10678305,11609743.0,-931438.0,-0.0802,1865891073,0.0058
Sunday,June,2020-06-21,facebook,1022,7599,8807.0,-1208.0,-0.1372,1499210,0.0051,10890081,10678305.0,211776.0,0.0198,1876781154,0.0058
Monday,June,2020-06-22,facebook,1111,9276,7599.0,1677.0,0.2207,1508486,0.0062,12308749,10890081.0,1418668.0,0.1303,1889089903,0.0066
Tuesday,June,2020-06-23,facebook,1151,9580,9276.0,304.0,0.0328,1518066,0.0064,12368569,12308749.0,59820.0,0.0049,1901458472,0.0065
Wednesday,June,2020-06-24,facebook,1130,9739,9580.0,159.0,0.0166,1527805,0.0064,13279525,12368569.0,910956.0,0.0737,1914737997,0.007
Thursday,June,2020-06-25,facebook,1160,10163,9739.0,424.0,0.0435,1537968,0.0067,13119287,13279525.0,-160238.0,-0.0121,1927857284,0.0069
Friday,June,2020-06-26,facebook,1133,10476,10163.0,313.0,0.0308,1548444,0.0068,14106827,13119287.0,987540.0,0.0753,1941964111,0.0073
